Año,Mes,Estado,Municipio,Dentro de Norma,Total de Determinaciones,% de Determinaciones dentro de norma 
2016,Enero,AGUASCALIENTES,AGUASCALIENTES,296,298,99.33
2016,Enero,AGUASCALIENTES,ASIENTOS,53,53,100
2016,Enero,AGUASCALIENTES,CALVILLO,120,121,99.17
2016,Enero,AGUASCALIENTES,COSIO,16,16,100
2016,Enero,AGUASCALIENTES,EL LLANO,35,39,89.74
2016,Enero,AGUASCALIENTES,JESUS MARIA,51,51,100
2016,Enero,AGUASCALIENTES,PABELLON DE ARTEAGA,16,16,100
2016,Enero,AGUASCALIENTES,RINCON DE ROMOS,27,27,100
2016,Enero,AGUASCALIENTES,SAN FRANCISCO DE LOS,44,44,100
2016,Enero,AGUASCALIENTES,SAN JOSE DE GRACIA,62,62,100
2016,Enero,AGUASCALIENTES,TEPEZALA,19,19,100
2016,Febrero,AGUASCALIENTES,AGUASCALIENTES,452,462,97.84
2016,Febrero,AGUASCALIENTES,ASIENTOS,65,65,100
2016,Febrero,AGUASCALIENTES,CALVILLO,159,160,99.38
2016,Febrero,AGUASCALIENTES,COSIO,17,17,100
2016,Febrero,AGUASCALIENTES,EL LLANO,46,52,88.46
2016,Febrero,AGUASCALIENTES,JESUS MARIA,74,74,100
2016,Febrero,AGUASCALIENTES,PABELLON DE ARTEAGA,17,17,100
2016,Febrero,AGUASCALIENTES,RINCON DE ROMOS,34,34,100
2016,Febrero,AGUASCALIENTES,SAN FRANCISCO DE LOS,75,75,100
2016,Febrero,AGUASCALIENTES,SAN JOSE DE GRACIA,67,67,100
2016,Febrero,AGUASCALIENTES,TEPEZALA,21,21,100
2016,Marzo,AGUASCALIENTES,AGUASCALIENTES,549,561,97.86
2016,Marzo,AGUASCALIENTES,ASIENTOS,71,72,98.61
2016,Marzo,AGUASCALIENTES,CALVILLO,164,166,98.8
2016,Marzo,AGUASCALIENTES,COSIO,23,23,100
2016,Marzo,AGUASCALIENTES,EL LLANO,45,53,84.91
2016,Marzo,AGUASCALIENTES,JESUS MARIA,76,76,100
2016,Marzo,AGUASCALIENTES,PABELLON DE ARTEAGA,20,20,100
2016,Marzo,AGUASCALIENTES,RINCON DE ROMOS,36,36,100
2016,Marzo,AGUASCALIENTES,SAN FRANCISCO DE LOS,72,72,100
2016,Marzo,AGUASCALIENTES,SAN JOSE DE GRACIA,80,80,100
2016,Marzo,AGUASCALIENTES,TEPEZALA,28,28,100
2016,Abril,AGUASCALIENTES,AGUASCALIENTES,379,383,98.96
2016,Abril,AGUASCALIENTES,ASIENTOS,97,97,100
2016,Abril,AGUASCALIENTES,CALVILLO,169,170,99.41
2016,Abril,AGUASCALIENTES,COSIO,25,25,100
2016,Abril,AGUASCALIENTES,EL LLANO,23,24,95.83
2016,Abril,AGUASCALIENTES,JESUS MARIA,70,71,98.59
2016,Abril,AGUASCALIENTES,PABELLON DE ARTEAGA,23,23,100
2016,Abril,AGUASCALIENTES,RINCON DE ROMOS,40,40,100
2016,Abril,AGUASCALIENTES,SAN FRANCISCO DE LOS,79,81,97.53
2016,Abril,AGUASCALIENTES,SAN JOSE DE GRACIA,77,77,100
2016,Abril,AGUASCALIENTES,TEPEZALA,26,26,100
2016,Mayo,AGUASCALIENTES,AGUASCALIENTES,422,427,98.83
2016,Mayo,AGUASCALIENTES,ASIENTOS,64,65,98.46
2016,Mayo,AGUASCALIENTES,CALVILLO,130,131,99.24
2016,Mayo,AGUASCALIENTES,COSIO,18,18,100
2016,Mayo,AGUASCALIENTES,EL LLANO,40,42,95.24
2016,Mayo,AGUASCALIENTES,JESUS MARIA,70,70,100
2016,Mayo,AGUASCALIENTES,PABELLON DE ARTEAGA,17,17,100
2016,Mayo,AGUASCALIENTES,RINCON DE ROMOS,29,29,100
2016,Mayo,AGUASCALIENTES,SAN FRANCISCO DE LOS,58,58,100
2016,Mayo,AGUASCALIENTES,SAN JOSE DE GRACIA,61,61,100
2016,Mayo,AGUASCALIENTES,TEPEZALA,20,20,100
2016,Junio,AGUASCALIENTES,AGUASCALIENTES,563,568,99.12
2016,Junio,AGUASCALIENTES,ASIENTOS,65,65,100
